Nombre,Plataforma,Genero,V_Global,Score,ESRB,Exito
King Arthur,GC,Action,0.04,60.0,T,0
Atelier Iris: Eternal Mana,PS2,Role-Playing,0.15,74.0,T,0
Shellshock: Nam '67,XB,Shooter,0.22,58.0,M,0
Magna Carta: Tears of Blood,PS2,Role-Playing,0.22,66.0,T,0
American Chopper,XB,Racing,0.15,44.0,T,0
ESPN NHL 2K5,XB,Sports,0.42,88.0,E,0
Tom Clancy's Rainbow Six 3: Black Arrow,XB,Shooter,1.13,84.0,M,1
Fight Night 2004,PS2,Fighting,1.48,85.0,T,1
Hot Wheels: Stunt Track Challenge,XB,Racing,0.1,63.0,E,0
Get On Da Mic,PS2,Misc,0.15,49.0,T,0
Boktai 2: Solar Boy Django,GBA,Role-Playing,0.04,78.0,T,0
Army Men: Sarge's War,GC,Shooter,0.15,56.0,T,0
Leisure Suit Larry: Magna Cum Laude,PS2,Adventure,0.34,60.0,M,0
Shadow Hearts: Covenant,PS2,Role-Playing,0.24,85.0,T,0
Midway Arcade Treasures 2,GC,Misc,0.16,74.0,M,0
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,Action,1.48,93.0,T,1
Fight Club,XB,Fighting,0.11,37.0,M,0
GunGriffon: Allied Strike,XB,Simulation,0.03,55.0,T,0
Grand Theft Auto,GBA,Action,0.24,68.0,M,0
Ridge Racer,PSP,Racing,1.4,88.0,E,1
Zoo Keeper,DS,Puzzle,0.16,74.0,E,0
Robotech: Invasion,XB,Shooter,0.05,59.0,T,0
"Warhammer 40,000: Dawn of War",PC,Strategy,0.05,86.0,M,0
Van Helsing,GBA,Action,0.1,33.0,T,0
Street Jam Basketball,GBA,Sports,0.03,35.0,E,0
Sega Superstars,PS2,Misc,0.17,72.0,T,0
Need for Speed Underground 2,GBA,Racing,0.43,72.0,E,0
Final Fantasy XI: Chains of Promathia,PS2,Role-Playing,0.25,77.0,T,0
Dance Dance Revolution Ultramix 2,XB,Simulation,0.42,78.0,E,0
The Dukes of Hazzard: Return of the General Lee,PS2,Racing,0.21,52.0,E,0
Classic NES Series: Metroid,GBA,Adventure,0.43,58.0,E,0
Test Drive: Eve of Destruction,PS2,Racing,0.23,73.0,T,0
Ape Escape Academy,PSP,Misc,0.33,51.0,E10+,0
Cartoon Network Block Party,GBA,Misc,0.05,52.0,E,0
Crash 'N' Burn,PS2,Racing,0.21,63.0,T,0
Around the World in 80 Days,GBA,Action,0.05,40.0,E,0
The Urbz: Sims in the City,GC,Simulation,0.4,73.0,T,0
Tiger Woods PGA Tour 2005,PS2,Sports,1.44,88.0,E,1
Nicktoons: Freeze Frame Frenzy,GBA,Action,0.4,53.0,E,0
The Suffering,XB,Action,0.22,77.0,M,0
The Lord of the Rings: The Third Age,GBA,Role-Playing,0.22,67.0,T,0
Pikmin 2,GC,Strategy,1.2,90.0,E,1
Mega Man Anniversary Collection,GC,Platform,0.42,81.0,E,0
Scaler,XB,Platform,0.04,69.0,E,0
ESPN NBA 2K5,PS2,Sports,1.59,83.0,E,1
NBA Ballers,PS2,Sports,1.66,83.0,E,1
Red Dead Revolver,PS2,Shooter,1.45,73.0,M,1
FlatOut,XB,Racing,0.17,71.0,T,0
BloodRayne 2,XB,Shooter,0.15,71.0,M,0
InuYasha: The Secret of the Cursed Mask,PS2,Role-Playing,0.43,51.0,T,0
NFL Street,GC,Sports,0.35,81.0,E,0
NFL Street 2,PS2,Sports,1.61,77.0,E,1
Knights of Honor,PC,Strategy,0.03,77.0,E10+,0
Doom 3,PC,Shooter,0.1,87.0,M,0
World Championship Pool 2004,PS2,Sports,0.05,60.0,E,0
NCAA Football 2005,PS2,Sports,1.62,88.0,E,1
ESPN NFL 2K5,XB,Sports,1.63,92.0,E,1
Atari Anthology,PS2,Misc,0.4,66.0,E,0
Prince of Persia: Warrior Within,PS2,Action,1.64,83.0,M,1
Shrek 2,GC,Platform,1.02,70.0,E,1
Colin McRae Rally 2005,XB,Racing,0.05,83.0,E,0
Classic NES Series: Excitebike,GBA,Racing,0.25,66.0,E,0
Onimusha 3: Demon Siege,PS2,Action,1.45,85.0,M,1
Mario Party 6,GC,Misc,1.65,71.0,E,1
R-Type III: The Third Lightning,GBA,Shooter,0.03,46.0,E,0
Fatal Frame II: Crimson Butterfly Director's Cut,XB,Action,0.05,84.0,M,0
Harry Potter and the Prisoner of Azkaban,PS2,Action,1.02,70.0,E,1
Leisure Suit Larry: Magna Cum Laude,XB,Adventure,0.17,62.0,M,0
Ridge Racer DS,DS,Racing,0.15,63.0,E,0
King of Fighters: Maximum Impact,PS2,Fighting,0.26,64.0,T,0
Dragon Ball Z: Budokai 3,PS2,Fighting,1.94,77.0,T,1
GoldenEye: Rogue Agent,GC,Shooter,0.36,60.0,T,0
Kuon,PS2,Adventure,0.02,57.0,M,0
Rocky: Legends,PS2,Action,0.27,65.0,T,0
Carmen Sandiego: The Secret of the Stolen Drums,GC,Action,0.02,57.0,E,0
Teenage Mutant Ninja Turtles 2: Battle Nexus,GBA,Action,0.32,65.0,E,0
Classic NES Series: Donkey Kong,GBA,Platform,0.73,55.0,E,0
Athens 2004,PS2,Sports,0.27,61.0,E,0
Terminator 3: The Redemption,GC,Shooter,0.02,68.0,T,0
RPG Maker 3,PS2,Role-Playing,0.06,69.0,E10+,0
Wings of War,XB,Simulation,0.06,62.0,T,0
Full Spectrum Warrior,XB,Strategy,0.73,84.0,M,0
Katamari Damacy,PS2,Puzzle,0.73,86.0,E,0
Classic NES Series: Pac-Man,GBA,Puzzle,0.46,53.0,E,0
Godzilla: Save the Earth,XB,Fighting,0.14,63.0,T,0
Echo Night Beyond,PS2,Adventure,0.04,60.0,T,0
Harry Potter and the Prisoner of Azkaban,PC,Action,0.04,67.0,E,0
Worms Forts: Under Siege,XB,Strategy,0.07,67.0,T,0
ESPN College Hoops 2K5,XB,Sports,0.38,86.0,E,0
Cabela's Deer Hunt 2005 Season,XB,Sports,0.11,59.0,T,0
Backyard Wrestling 2: There Goes the Neighborhood,XB,Fighting,0.12,43.0,M,0
Pitfall: The Lost Expedition,PS2,Platform,0.2,70.0,E,0
Metal Gear Solid: The Twin Snakes,GC,Action,0.47,85.0,M,0
Psi-Ops: The Mindgate Conspiracy,XB,Shooter,0.17,84.0,M,0
Fallout: Brotherhood of Steel,PS2,Role-Playing,0.07,64.0,M,0
Half-Life 2,PC,Shooter,2.37,96.0,M,1
Tony Hawk's Underground 2,PS2,Sports,2.37,83.0,T,1
Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,Role-Playing,0.27,67.0,T,0
Tom Clancy's Ghost Recon 2,XB,Shooter,1.36,80.0,T,1
Need for Speed Underground 2,XB,Racing,2.28,77.0,E,1
Tom Clancy's Splinter Cell: Pandora Tomorrow,GBA,Action,0.06,68.0,T,0
Arc the Lad: End of Darkness,PS2,Role-Playing,0.06,59.0,T,0
World Tour Soccer 2006,PS2,Sports,0.17,56.0,E,0
Tony Hawk's Underground 2,XB,Sports,0.75,83.0,T,0
James Bond 007: Everything or Nothing,PS2,Shooter,2.31,84.0,T,1
RollerCoaster Tycoon 3,PC,Strategy,0.27,81.0,E,0
Burnout 3: Takedown,XB,Racing,1.31,94.0,T,1
Tak 2: The Staff of Dreams,GBA,Platform,0.46,45.0,E,0
Conflict: Vietnam,XB,Shooter,0.22,60.0,M,0
Mobile Suit Gundam Seed: Never Ending Tomorrow,PS2,Shooter,0.06,45.0,T,0
Beyblade G-Revolution,GBA,Action,0.2,40.0,E,0
Serious Sam: Next Encounter,GC,Shooter,0.02,69.0,M,0
Gallop Racer 2004,PS2,Sports,0.06,70.0,E,0
Knight's Apprentice: Memorick's Adventures,XB,Action,0.02,53.0,T,0
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,Adventure,0.34,65.0,E10+,0
RalliSport Challenge 2,XB,Racing,0.27,87.0,E,0
Dragon Ball: Advanced Adventure,GBA,Action,0.04,75.0,E10+,0
Capcom Fighting Evolution,PS2,Fighting,0.2,57.0,T,0
The Incredibles,PS2,Action,2.37,62.0,T,1
Godzilla: Save the Earth,PS2,Fighting,0.47,62.0,T,0
Armored Core: Nine Breaker,PS2,Simulation,0.07,57.0,T,0
Corvette,PS2,Racing,1.33,57.0,E,1
NHL 2005,GC,Sports,0.07,75.0,E,0
Malice,PS2,Platform,0.02,51.0,T,0
Mario Pinball Land,GBA,Misc,0.69,62.0,E,0
World Championship Poker,GBA,Misc,0.17,66.0,E,0
Digimon Rumble Arena 2,XB,Fighting,0.02,65.0,T,0
Baldur's Gate: Dark Alliance II,PS2,Role-Playing,0.68,78.0,T,0
Shark Tale,GBA,Action,0.68,63.0,E,0
Fear Factor: Unleashed,GBA,Action,0.14,30.0,T,0
Metal Slug 3,XB,Shooter,0.1,76.0,T,0
NCAA Football 2005,XB,Sports,0.68,89.0,E,0
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GC,Action,0.28,65.0,E,0
Cy Girls,PS2,Action,0.04,53.0,M,0
NCAA March Madness 2005,XB,Sports,0.28,80.0,E,0
Fight Night 2004,XB,Fighting,0.68,85.0,T,0
FlatOut,PS2,Racing,0.38,70.0,T,0
Call of Duty: Finest Hour,PS2,Shooter,2.89,76.0,T,1
UEFA Euro 2004: Portugal,PS2,Sports,0.14,76.0,E,0
Scaler,GC,Platform,0.04,69.0,E,0
Midway Arcade Treasures 2,PS2,Misc,0.68,74.0,M,0
Samurai Warriors,PS2,Action,1.35,73.0,T,1
River City Ransom EX,GBA,Action,0.07,75.0,T,0
Classic NES Series: Ice Climber,GBA,Platform,0.34,66.0,E,0
Ty the Tasmanian Tiger 2: Bush Rescue,GC,Platform,0.2,70.0,E,0
Dead Man's Hand,XB,Shooter,0.11,62.0,T,0
Classic NES Series: Zelda II: The Adventure of Link,GBA,Adventure,0.7,73.0,E,0
Dragon Ball Z: Budokai 2,GC,Fighting,0.27,66.0,T,0
NBA Live 2005,PS2,Sports,2.59,84.0,E,1
Metroid Prime 2: Echoes,GC,Shooter,1.33,92.0,T,1
Outlaw Golf 2,PS2,Sports,0.35,63.0,M,0
ESPN NFL 2K5,PS2,Sports,2.62,90.0,E,1
Headhunter: Redemption,XB,Action,0.02,59.0,M,0
Scooby-Doo 2: Monsters Unleashed,GBA,Action,0.71,46.0,E,0
Power Rangers: Dino Thunder,PS2,Action,0.71,49.0,E,0
Future Tactics: The Uprising,PS2,Strategy,0.07,61.0,T,0
MVP Baseball 2004,PS2,Sports,1.34,90.0,E,1
Time Crisis: Crisis Zone,PS2,Shooter,0.22,66.0,T,0
Rapala Pro Fishing,XB,Sports,0.16,59.0,E,0
Lemony Snicket's A Series of Unfortunate Events,XB,Platform,0.12,70.0,E,0
Fable,XB,Role-Playing,2.66,85.0,M,1
Painkiller,PC,Shooter,0.02,81.0,M,0
Madden NFL 2005,GC,Sports,0.7,90.0,E,0
Burnout 3: Takedown,PS2,Racing,2.68,93.0,T,1
Crash 'N' Burn,XB,Racing,0.09,65.0,T,0
Obscure,PS2,Adventure,0.07,65.0,M,0
Donkey Kong Jungle Beat,GC,Platform,1.34,80.0,E10+,1
Mafia,PS2,Action,0.7,65.0,M,0
Gretzky NHL 2005,PS2,Sports,0.17,66.0,E,0
The Polar Express,PS2,Adventure,0.23,39.0,E,0
BloodRayne 2,PS2,Shooter,0.27,70.0,M,0
Shark Tale,PS2,Action,0.75,69.0,E,0
Mr. Driller: Drill Spirits,DS,Puzzle,0.14,70.0,E,0
Riviera: The Promised Land,GBA,Role-Playing,0.1,76.0,T,0
Zoo Tycoon 2,PC,Strategy,0.06,72.0,E,0
Racing Gears Advance,GBA,Racing,0.06,83.0,E,0
Steel Battalion: Line of Contact,XB,Simulation,0.02,70.0,T,0
Breakdown,XB,Adventure,0.12,71.0,M,0
The Incredibles,GBA,Action,2.06,55.0,E,1
Catwoman,PS2,Action,0.17,46.0,T,0
Carmen Sandiego: The Secret of the Stolen Drums,XB,Action,0.02,53.0,E,0
The Legend of Heroes II: Prophecy of the Moonlight Witch,PSP,Role-Playing,0.14,63.0,E10+,0
Terminator 3: The Redemption,PS2,Shooter,0.17,68.0,T,0
Tron 2.0: Killer App,XB,Action,0.06,69.0,T,0
Madden NFL 2005,GBA,Sports,0.39,79.0,E,0
Unreal II: The Awakening,XB,Shooter,0.21,64.0,M,0
The Legend of Zelda: Four Swords Adventures,GC,Action,0.81,86.0,E,0
Hamtaro: Ham-Ham Games,GBA,Sports,0.22,77.0,E,0
Tom Clancy's Rainbow Six 3,PS2,Shooter,0.81,70.0,M,0
Hitman: Contracts,XB,Shooter,0.34,78.0,M,0
NCAA Football 2005,GC,Sports,0.22,88.0,E,0
Guilty Gear Isuka,PS2,Fighting,0.1,73.0,T,0
Hitman: Contracts,PS2,Shooter,0.8,80.0,M,0
Ford Racing 3,PS2,Racing,0.26,50.0,E,0
Samurai Warriors: Xtreme Legends,PS2,Action,0.45,72.0,T,0
Lizzie McGuire 2: Lizzie Diaries,GBA,Action,0.83,57.0,E,0
MTV Music Generator 3: This Is the Remix,PS2,Misc,0.14,79.0,T,0
Mafia,XB,Action,0.23,66.0,M,0
Second Sight,PS2,Adventure,0.14,76.0,T,0
Trigger Man,PS2,Shooter,0.16,32.0,T,0
Tiger Woods PGA Tour 2005,XB,Sports,0.85,88.0,E,0
Samurai Jack: The Shadow of Aku,PS2,Action,0.06,59.0,T,0
Classic NES Series: Castlevania,GBA,Platform,0.33,74.0,E,0
WWE Day of Reckoning,GC,Fighting,0.45,79.0,T,0
Phantom Brave,PS2,Role-Playing,0.14,81.0,T,0
Spider-Man 2,GC,Action,0.84,80.0,T,0
Ty the Tasmanian Tiger 2: Bush Rescue,XB,Platform,0.11,69.0,E,0
The Incredibles,GC,Action,0.84,63.0,T,0
Armored Core: Nexus,PS2,Simulation,0.26,73.0,T,0
Sonic Advance 3,GBA,Platform,1.4,79.0,E,1
Catwoman,XB,Action,0.06,45.0,T,0
NBA Live 2005,GC,Sports,0.45,83.0,E,0
ESPN College Hoops 2K5,PS2,Sports,0.84,86.0,E,0
Donkey Konga 2,GC,Misc,0.39,69.0,T,0
FIFA Soccer 2005,GC,Sports,0.14,78.0,E,0
Metroid: Zero Mission,GBA,Adventure,0.84,89.0,E,0
The Urbz: Sims in the City,XB,Simulation,0.34,70.0,T,0
Serious Sam Advance,GBA,Shooter,0.02,51.0,M,0
The Suffering,PS2,Action,0.42,77.0,M,0
Prince of Persia: Warrior Within,XB,Action,0.8,83.0,M,0
Star Wars Trilogy: Apprentice of the Force,GBA,Action,0.42,60.0,E,0
Obscure,XB,Adventure,0.04,66.0,M,0
Alias,PS2,Action,0.11,64.0,T,0
Pokemon Dash,DS,Racing,0.77,46.0,E,0
Spyro: A Hero's Tail,XB,Platform,0.14,64.0,E,0
The X Files: Resist or Serve,PS2,Adventure,0.12,67.0,M,0
NHL 2005,PS2,Sports,0.45,75.0,E,0
Champions of Norrath,PS2,Role-Playing,1.28,85.0,T,1
Gungrave: Overdose,PS2,Shooter,0.14,68.0,M,0
Monster Garage,XB,Strategy,0.06,38.0,T,0
Driv3r,XB,Racing,0.76,56.0,M,0
Headhunter: Redemption,PS2,Action,0.04,62.0,M,0
Thunderbirds,GBA,Shooter,0.02,47.0,E,0
Outlaw Golf 2,XB,Sports,0.21,74.0,M,0
Thief: Deadly Shadows,XB,Action,0.17,82.0,M,0
Star Wars Knights of the Old Republic II: The Sith Lords,XB,Role-Playing,1.37,86.0,T,1
NASCAR 2005: Chase for the Cup,XB,Racing,0.45,86.0,E,0
Terminator 3: The Redemption,XB,Shooter,0.06,66.0,T,0
Paper Mario: The Thousand-Year Door,GC,Role-Playing,2.25,87.0,E,1
Transformers,PS2,Shooter,1.29,75.0,T,1
Disney's Home on the Range,GBA,Action,0.17,65.0,E,0
Syphon Filter: The Omega Strain,PS2,Shooter,0.76,65.0,M,0
That's So Raven,GBA,Adventure,0.76,39.0,E,0
Dance Dance Revolution Extreme,PS2,Simulation,2.13,77.0,E,1
Outlaw Volleyball Remixed,PS2,Sports,0.04,57.0,M,0
Mortal Kombat: Deception,XB,Fighting,0.76,81.0,M,0
IHRA Professional Drag Racing 2005,XB,Racing,0.06,36.0,E,0
Mobile Suit Gundam: Gundam vs. Zeta Gundam,PS2,Shooter,0.06,57.0,T,0
Tron 2.0: Killer App,GBA,Action,0.06,68.0,E,0
Future Tactics: The Uprising,GC,Strategy,0.02,63.0,T,0
Duel Masters,PS2,Strategy,0.27,66.0,E,0
Pro Fishing Challenge,XB,Sports,0.02,62.0,E,0
Pure Pinball,XB,Misc,0.04,68.0,E,0
Castlevania: Curse of Darkness,PS2,Action,0.42,70.0,M,0
Mortal Kombat: Shaolin Monks,XB,Action,0.31,78.0,M,0
Tom Clancy's Rainbow Six: Lockdown,XB,Shooter,0.41,74.0,M,0
Castlevania: Curse of Darkness,XB,Action,0.12,74.0,M,0
Airborne Troops: Countdown to D-Day,PS2,Shooter,0.12,39.0,T,0
Condemned: Criminal Origins,X360,Action,0.41,81.0,M,0
SpongeBob SquarePants: The Yellow Avenger,DS,Action,0.34,67.0,E,0
The Matrix: Path of Neo,XB,Action,0.31,73.0,T,0
Gretzky NHL,PSP,Sports,0.1,61.0,E,0
Pac 'n Roll,DS,Platform,0.11,72.0,E,0
FIFA Street,PS2,Sports,0.31,59.0,E,0
Gallop Racer 2006,PS2,Sports,0.1,69.0,E,0
Spartan: Total Warrior,XB,Action,0.13,73.0,M,0
Capcom Classics Collection,PS2,Misc,0.51,78.0,T,0
Robots,PS2,Action,0.36,53.0,E,0
NBA Live 06,PSP,Sports,0.42,80.0,E,0
Charlie and the Chocolate Factory,PS2,Adventure,0.35,35.0,E,0
Frogger: Ancient Shadow,PS2,Platform,0.1,54.0,E,0
Sega Casino,DS,Misc,0.09,61.0,T,0
Harry Potter and the Goblet of Fire,GC,Action,0.42,69.0,E10+,0
NFL Street 2 Unleashed,PSP,Sports,0.37,73.0,E,0
Top Spin,PS2,Sports,0.1,67.0,E,0
Psychonauts,XB,Platform,0.12,88.0,T,0
WWE Day of Reckoning 2,GC,Fighting,0.34,76.0,T,0
Battles of Prince of Persia,DS,Strategy,0.12,64.0,E10+,0
Cabela's Dangerous Hunts 2,XB,Sports,0.11,63.0,T,0
Tom Clancy's Splinter Cell: Chaos Theory,GC,Action,0.1,81.0,M,0
Dead to Rights II,XB,Shooter,0.11,54.0,M,0
Death By Degrees,PS2,Action,0.1,51.0,M,0
From Russia With Love,PS2,Action,0.41,69.0,T,0
"Ed, Edd n Eddy: The Mis-Edventures",PS2,Platform,0.41,50.0,E,0
Rugby 2005,PS2,Sports,0.09,71.0,E,0
Advent Rising,XB,Action,0.13,68.0,T,0
Banjo-Pilot,GBA,Racing,0.1,68.0,E,0
Stubbs the Zombie in Rebel Without a Pulse,XB,Action,0.11,75.0,M,0
50 Cent: Bulletproof,XB,Action,0.44,50.0,M,0
Fullmetal Alchemist: Dual Sympathy,DS,Role-Playing,0.09,58.0,T,0
Brothers In Arms: Road to Hill 30,PS2,Shooter,0.46,82.0,M,0
Break 'Em All,DS,Puzzle,0.12,68.0,E,0
The Sims 2,GBA,Simulation,0.39,58.0,E10+,0
World Championship Poker 2: Featuring Howard Lederer,XB,Misc,0.09,71.0,T,0
Delta Force: Black Hawk Down,PS2,Shooter,0.46,58.0,T,0
Snood 2: On Vacation,DS,Puzzle,0.09,46.0,E,0
Ninja Gaiden Black,XB,Action,0.09,94.0,M,0
MVP Baseball 2005,GC,Sports,0.33,88.0,E,0
Zathura,PS2,Adventure,0.12,43.0,E10+,0
Area 51,PS2,Shooter,0.45,75.0,M,0
Lost in Blue,DS,Adventure,0.11,69.0,E10+,0
NeoGeo Battle Coliseum,PS2,Fighting,0.33,66.0,T,0
FIFA Soccer 06,PSP,Sports,0.11,77.0,E,0
Ford Racing 3,DS,Racing,0.1,49.0,E,0
Call Of Duty 2: Big Red One,GC,Shooter,0.33,76.0,T,0
Constantine,PS2,Action,0.11,58.0,M,0
Charlie and the Chocolate Factory,XB,Adventure,0.11,39.0,E,0
WWE WrestleMania 21,XB,Fighting,0.45,56.0,T,0
Real World Golf,PS2,Sports,0.11,73.0,E,0
Age of Empires III,PC,Strategy,0.38,81.0,T,0
Tales of Legendia,PS2,Role-Playing,0.49,72.0,T,0
Tak: The Great Juju Challenge,DS,Platform,0.09,66.0,E,0
EyeToy: Operation Spy,PS2,Action,0.1,53.0,E,0
Dance Dance Revolution Ultramix 3,XB,Simulation,0.38,75.0,E10+,0
Predator: Concrete Jungle,XB,Action,0.1,46.0,M,0
Shrek SuperSlam,XB,Action,0.09,71.0,E10+,0
Lunar: Dragon Song,DS,Role-Playing,0.12,59.0,E10+,0
ATV: Quad Frenzy,DS,Racing,0.11,35.0,E,0
Advance Wars: Dual Strike,DS,Strategy,0.39,90.0,E,0
Dr. Mario / Puzzle League,GBA,Puzzle,0.33,74.0,E,0
The Legend of Heroes: A Tear of Vermillion,PSP,Role-Playing,0.09,68.0,T,0
Project: Snowblind,XB,Action,0.11,79.0,T,0
Trauma Center: Under the Knife,DS,Simulation,0.35,81.0,T,0
Bratz: Rock Angelz,PS2,Misc,0.38,60.0,E,0
NBA Street V3,XB,Sports,0.32,89.0,E,0
Marvel Nemesis: Rise of the Imperfects,GC,Fighting,0.38,54.0,T,0
Makai Kingdom: Chronicles of the Sacred Tome,PS2,Role-Playing,0.12,77.0,T,0
Robots,XB,Action,0.09,60.0,E,0
World Series of Poker,PS2,Misc,0.47,46.0,E10+,0
Pac-Man World 3,GC,Platform,0.09,66.0,E,0
Kong: The 8th Wonder of the World,GBA,Action,0.47,59.0,E10+,0
Darkwatch,PS2,Shooter,0.32,74.0,M,0
NBA Live 06,GC,Sports,0.33,76.0,E,0
Dead or Alive 4,X360,Fighting,0.47,85.0,M,0
Tony Hawk's American Wasteland,X360,Sports,0.32,75.0,T,0
Psychonauts,PS2,Platform,0.09,86.0,T,0
Mortal Kombat: Deception,GC,Fighting,0.11,77.0,M,0
Playboy: The Mansion,XB,Simulation,0.09,61.0,M,0
FIFA Soccer,PSP,Sports,0.12,73.0,E,0
Disney's Kim Possible 3: Team Possible,GBA,Platform,0.46,76.0,E,0
Ford Mustang: The Legend Lives,XB,Racing,0.09,55.0,E,0
Tiger Woods PGA Tour 06,XB,Sports,0.48,81.0,E,0
Tom Clancy's Ghost Recon 2: Summit Strike,XB,Shooter,0.39,84.0,T,0
Madden NFL 06,DS,Sports,0.12,66.0,E,0
Brothers In Arms: Earned in Blood,PS2,Shooter,0.46,71.0,M,0
Dragon Ball Z: Sagas,PS2,Fighting,0.46,49.0,T,0
Dance Dance Revolution: Mario Mix,GC,Misc,0.47,69.0,E,0
NARC,PS2,Shooter,0.36,50.0,M,0
College Hoops 2K6,XB,Sports,0.1,82.0,E,0
World Soccer Winning Eleven 9,XB,Sports,0.44,89.0,E,0
Bust-A-Move DS,DS,Puzzle,0.11,75.0,E,0
Fantastic 4,PS2,Action,0.5,64.0,T,0
MX vs. ATV Unleashed,XB,Racing,0.4,80.0,E,0
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS2,Action,0.43,68.0,T,0
Shrek SuperSlam,PS2,Action,0.5,67.0,E10+,0
Dynasty Warriors Advance,GBA,Action,0.11,56.0,E,0
MLB 2006,PS2,Sports,0.4,81.0,E,0
Mega Man Zero 4,GBA,Platform,0.11,77.0,E,0
Monster Rancher EVO,PS2,Role-Playing,0.1,58.0,E10+,0
Tiger Woods PGA Tour 06,GC,Sports,0.11,82.0,E,0
Conflict: Global Terror,XB,Shooter,0.1,62.0,M,0
Cold Fear,PS2,Action,0.11,68.0,M,0
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,PS2,Platform,0.1,49.0,E10+,0
The Incredibles: Rise of the Underminer,PS2,Action,0.36,60.0,E10+,0
Delta Force: Black Hawk Down,XB,Shooter,0.34,61.0,T,0
Battalion Wars,GC,Strategy,0.4,76.0,T,0
Castlevania: Dawn of Sorrow,DS,Platform,0.43,89.0,T,0
Kameo: Elements of Power,X360,Action,0.34,79.0,T,0
SEGA Classics Collection,PS2,Misc,0.43,46.0,T,0
Herbie: Fully Loaded,GBA,Racing,0.34,47.0,E,0
Gauntlet: Seven Sorrows,PS2,Role-Playing,0.4,59.0,T,0
NHL 2K6,PS2,Sports,0.42,81.0,E10+,0
Tony Hawk's American Wasteland,GC,Sports,0.42,76.0,T,0
Spy vs Spy,XB,Action,0.11,53.0,T,0
FIFA Street,XB,Sports,0.1,60.0,E,0
Taito Legends,PS2,Misc,0.11,68.0,T,0
World Championship Poker 2: Featuring Howard Lederer,PS2,Misc,0.34,67.0,T,0
GoldenEye: Rogue Agent,DS,Shooter,0.11,58.0,T,0
The Sims 2,GC,Simulation,0.33,73.0,T,0
WWE SmackDown! vs. RAW 2006,PSP,Fighting,0.4,81.0,T,0
Total Overdose: A Gunslinger's Tale in Mexico,PS2,Shooter,0.09,71.0,M,0
Frogger: Helmet Chaos,PSP,Platform,0.11,66.0,E,0
Grandia III,PS2,Role-Playing,0.49,77.0,T,0
Ultimate Spider-Man,GC,Action,0.37,76.0,T,0
NHL 2K6,X360,Sports,0.1,75.0,E10+,0
X-Men Legends II: Rise of Apocalypse,XB,Role-Playing,0.44,84.0,T,0
Shrek SuperSlam,GBA,Action,0.33,58.0,E10+,0
Ultimate Spider-Man,XB,Action,0.39,77.0,T,0
Shining Force NEO,PS2,Role-Playing,0.11,69.0,T,0
Crash Tag Team Racing,XB,Racing,0.13,69.0,E10+,0
Indigo Prophecy,XB,Adventure,0.1,84.0,M,0
Pac-Man Pinball Advance,GBA,Misc,0.11,52.0,E,0
Naruto: Ultimate Ninja 3,PS2,Fighting,0.44,75.0,T,0
Romance of the Three Kingdoms X,PS2,Strategy,0.09,71.0,T,0
Battlefield 2: Modern Combat,PS2,Shooter,0.44,80.0,T,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,GC,Action,0.12,57.0,E10+,0
L.A. Rush,PS2,Racing,0.47,58.0,T,0
The Matrix: Path of Neo,PS2,Action,0.49,69.0,T,0
NBA 2K6,XB,Action,0.36,84.0,E,0
GripShift,PSP,Racing,0.09,70.0,E,0
Suzuki TT Superbikes,PS2,Racing,0.4,71.0,E,0
Tom Clancy's Rainbow Six: Lockdown,PS2,Shooter,0.35,70.0,M,0
Marvel Nemesis: Rise of the Imperfects,PSP,Fighting,0.32,58.0,T,0
Dragon Quest Heroes: Rocket Slime,DS,Action,0.44,83.0,E,0
Quake 4,X360,Shooter,0.37,75.0,M,0
Rengoku: The Tower of Purgatory,PSP,Action,0.11,43.0,M,0
Dragon Ball Z: Supersonic Warriors 2,DS,Fighting,0.49,66.0,E10+,0
Pariah,XB,Action,0.1,70.0,M,0
Oddworld: Stranger's Wrath,XB,Adventure,0.26,88.0,T,0
WipEout Pure,PSP,Racing,1.03,88.0,E,1
Star Wars Episode III: Revenge of the Sith,XB,Action,1.24,61.0,T,1
NBA 2K6,X360,Action,0.23,81.0,E,0
Ratchet: Deadlocked,PS2,Shooter,1.24,81.0,T,1
Pokemon XD: Gale of Darkness,GC,Role-Playing,1.25,64.0,E,1
Need for Speed: Most Wanted,X360,Racing,1.25,83.0,T,1
Aeon Flux,PS2,Action,0.04,66.0,T,0
Capcom Fighting Evolution,XB,Fighting,0.04,61.0,T,0
Shattered Union,XB,Strategy,0.04,66.0,T,0
Genji: Dawn of the Samurai,PS2,Action,0.23,74.0,M,0
Worms 4: Mayhem,XB,Strategy,0.04,69.0,T,0
Imperial Glory,PC,Strategy,0.04,69.0,T,0
Super Black Bass Fishing,DS,Sports,0.04,35.0,E,0
The Sims 2: Nightlife,PC,Simulation,1.27,76.0,T,1
Stolen,PS2,Action,0.04,51.0,T,0
