Nombre,Plataforma,Genero,V_Global,Score,ESRB,Exito
NFL GameDay 2001,PS2,Sports,0.36,51.0,E,0
Ball Breakers,PS,Action,0.18,68.0,E,0
NFL Blitz 2001,PS,Sports,0.59,70.0,E,0
You Don't Know Jack: Mock 2,PS,Misc,0.1,82.0,E,0
Gadget Racers,PS2,Racing,0.08,67.0,E,0
Mortal Kombat: Special Forces,PS,Fighting,0.21,28.0,M,0
Chicken Run,PS,Adventure,0.13,75.0,E,0
Dance Dance Revolution Disney Mix,PS,Simulation,0.04,74.0,E,0
Polaris SnoCross,PS,Racing,0.16,57.0,E,0
Aqua Aqua,PS2,Puzzle,0.11,79.0,E,0
Armored Core 2,PS2,Simulation,0.79,78.0,T,0
WinBack: Covert Operations,PS2,Shooter,0.29,66.0,T,0
MotoGP,PS2,Racing,0.27,77.0,E,0
Digimon World 2,PS,Role-Playing,0.58,42.0,E,0
Tenchu 2: Birth of the Stealth Assassins,PS,Action,0.58,77.0,M,0
Speedball 2100,PS,Sports,0.18,60.0,E,0
World Destruction League: Thunder Tanks,PS2,Action,0.17,65.0,T,0
ESPN NBA 2Night,PS2,Sports,0.09,62.0,E,0
Evil Dead: Hail to the King,PS,Adventure,0.27,51.0,M,0
Silent Scope,PS2,Shooter,0.38,63.0,M,0
Disney's Aladdin in Nasira's Revenge,PS,Action,0.09,61.0,E,0
Victorious Boxers: Ippo's Road to Glory,PS2,Fighting,0.47,75.0,T,0
F1 Championship Season 2000,PS2,Racing,0.16,71.0,E,0
The Sims: Livin Large,PC,Misc,2.99,82.0,T,1
Silpheed: The Lost Planet,PS2,Shooter,0.07,72.0,T,0
NFL 2K1,DC,Sports,1.09,97.0,E,1
Point Blank 3,PS,Shooter,0.02,78.0,T,0
Q-Ball: Billiards Master,PS2,Sports,0.27,65.0,E,0
Dark Cloud,PS2,Role-Playing,1.54,80.0,T,1
Hogs of War,PS,Strategy,0.02,62.0,T,0
Resident Evil: Survivor,PS,Action,0.71,39.0,M,0
The Sims,PC,Simulation,0.05,92.0,T,0
Jeremy McGrath Supercross 2000,PS,Racing,0.71,43.0,E,0
Midnight Club: Street Racing,PS2,Racing,2.63,78.0,T,1
Smuggler's Run,PS2,Racing,1.56,79.0,T,1
Alien Resurrection,PS,Shooter,0.16,61.0,M,0
EverGrace,PS2,Role-Playing,0.35,59.0,T,0
Real Pool,PS2,Sports,0.28,54.0,E,0
Mobile Suit Gundam: Journey to Jaburo,PS2,Simulation,0.7,58.0,T,0
NASCAR 2001,PS2,Racing,0.7,66.0,E,0
Phantasy Star Online,DC,Role-Playing,0.2,89.0,T,0
Star Wars: Demolition,PS,Racing,0.46,63.0,T,0
Sky Odyssey,PS2,Simulation,0.32,79.0,E,0
Fantavision,PS2,Puzzle,0.47,72.0,E,0
Duke Nukem: Land of the Babes,PS,Shooter,0.08,37.0,M,0
Championship Surfer,PS,Sports,0.06,57.0,E,0
Action Bass,PS,Action,1.14,51.0,E,1
Looney Tunes Racing,PS,Racing,0.29,71.0,E,0
Mega Man X5,PS,Platform,0.75,76.0,E,0
FIFA 2001 Major League Soccer,PS,Sports,0.32,85.0,E,0
Buzz Lightyear of Star Command,PS,Platform,0.63,54.0,E,0
NHL 2001,PS,Sports,0.63,88.0,E,0
Crash Bash,PS,Misc,3.39,68.0,E,1
SSX,PS2,Sports,1.66,93.0,E,1
TimeSplitters,PS2,Shooter,0.43,81.0,T,0
NCAA GameBreaker 2001,PS2,Sports,0.15,57.0,E,0
Madden NFL 2001,PS2,Sports,1.5,91.0,E,1
Tokyo Xtreme Racer Zero,PS2,Racing,1.5,76.0,E,1
Army Men: Sarge's Heroes 2,PS,Shooter,0.24,48.0,T,0
Theme Park Roller Coaster,PS2,Strategy,0.48,82.0,E,0
ATV: Quad Power Racing,PS,Racing,1.04,42.0,E,1
GunGriffon Blaze,PS2,Simulation,0.11,73.0,T,0
Capcom vs. SNK,DC,Fighting,0.22,80.0,T,0
Dave Mirra Freestyle BMX,PS,Sports,1.05,82.0,E,1
Sydney 2000,PS,Sports,0.27,57.0,E,0
Disney's The Lion King: Simba's Mighty Adventure,PS,Action,0.15,30.0,E,0
Spider-Man,PS,Action,3.13,87.0,E,1
Grandia II,DC,Role-Playing,0.2,90.0,T,0
NFL GameDay 2001,PS,Sports,1.0,73.0,E,0
NCAA Final Four 2001,PS2,Sports,0.19,49.0,E,0
Skies of Arcadia,DC,Role-Playing,0.09,93.0,T,0
Ephemeral Fantasia,PS2,Role-Playing,0.08,48.0,T,0
Wild Wild Racing,PS2,Racing,0.21,64.0,E,0
Deus Ex,PC,Role-Playing,0.01,90.0,M,0
HBO Boxing,PS,Fighting,0.21,26.0,E,0
Gradius III and IV,PS2,Shooter,0.08,64.0,E,0
Diablo II,PC,Role-Playing,0.13,88.0,M,0
Disney's Donald Duck: Goin' Quackers,PS2,Platform,0.08,73.0,E,0
Gold and Glory: The Road to El Dorado,PS,Adventure,0.06,34.0,E,0
Disney's Donald Duck: Goin' Quackers,PS,Platform,0.15,65.0,E,0
Mega Man Legends 2,PS,Adventure,0.42,76.0,E,0
Vagrant Story,PS,Role-Playing,0.87,92.0,T,0
Power Spike Pro Beach Volleyball,PS,Sports,0.05,48.0,E,0
Rayman 2: Revolution,PS2,Platform,0.3,90.0,E,0
Army Men: Air Attack 2,PS,Action,0.3,74.0,T,0
Eternal Ring,PS2,Role-Playing,0.3,62.0,T,0
